wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bandung Barat,Kabupaten,2022,Agustus,8,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,1,0
Kabupaten Bandung Barat,Kabupaten,2022,September,9,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,0,1
Kabupaten Bandung Barat,Kabupaten,2022,Oktober,10,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,0,1
Kabupaten Bandung Barat,Kabupaten,2022,November,11,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,0,1
Kabupaten Bandung Barat,Kabupaten,2022,Desember,12,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,0,1
Kabupaten Bandung Barat,Kabupaten,2023,Januari,1,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,1,0,0
Kabupaten Bandung Barat,Kabupaten,2023,Februari,2,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,1,0,0
Kabupaten Bandung Barat,Kabupaten,2023,Maret,3,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,1,0,0
Kabupaten Bandung Barat,Kabupaten,2023,April,4,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,1,0
Kabupaten Bandung Barat,Kabupaten,2023,Mei,5,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,1,0
Kabupaten Bandung Barat,Kabupaten,2023,Juni,6,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,1,0
Kabupaten Bandung Barat,Kabupaten,2023,Juli,7,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,1,0
Kabupaten Bandung Barat,Kabupaten,2023,Agustus,8,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,1,0
Kabupaten Bandung Barat,Kabupaten,2023,September,9,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,0,1
Kabupaten Bandung Barat,Kabupaten,2023,Oktober,10,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,0,1
Kabupaten Bandung Barat,Kabupaten,2023,November,11,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,0,1
Kabupaten Bandung Barat,Kabupaten,2023,Desember,12,8.11,10.52,0.374,80.96,8.23,11.91,,10.07,18.63,45.515,0,0,1
Kabupaten Bandung Barat,Kabupaten,2024,Januari,1,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,1,0,0
Kabupaten Bandung Barat,Kabupaten,2024,Februari,2,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,1,0,0
Kabupaten Bandung Barat,Kabupaten,2024,Maret,3,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,1,0,0
Kabupaten Bandung Barat,Kabupaten,2024,April,4,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,1,0
Kabupaten Bandung Barat,Kabupaten,2024,Mei,5,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,1,0
Kabupaten Bandung Barat,Kabupaten,2024,Juni,6,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,1,0
Kabupaten Bandung Barat,Kabupaten,2024,Juli,7,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,1,0
Kabupaten Bandung Barat,Kabupaten,2024,Agustus,8,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,1,0
Kabupaten Bandung Barat,Kabupaten,2024,September,9,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,0,1
Kabupaten Bandung Barat,Kabupaten,2024,Oktober,10,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,0,1
Kabupaten Bandung Barat,Kabupaten,2024,November,11,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,0,1
Kabupaten Bandung Barat,Kabupaten,2024,Desember,12,6.7,10.49,0.4,81.59,8.24,12.0,,10.12,17.19,45.855,0,0,1
Kabupaten Bandung Barat,Kabupaten,2025,Januari,1,,9.87,0.364,81.98,8.34,12.26,,10.3,,46.14,1,0,0
